ID,이름,이모지,설명,이미지,연결,히든,시작,키워드,조건,채집,채집목록,채집확률,낚시,낚시목록,낚시제외,낚시확률,채광,채광목록,채광확률
등불광장,등불 광장,🏮,라카노아의 심장. 거대한 등불이 광장을 비춘다. 수 많은 모험가가 발을 들이면 도착하는 곳.,https://i.pinimg.com/1200x/25/8f/68/258f68c3e09cb43576585eb2710f6780.jpg,"모험가길드,시장골목,여관,대장간,초원,분수광장,종탑거리",,Y,,,,,,,,,,,,,"1:55,2:35,3:10"
모험가길드,모험가 길드,⚔️,의뢰가 붙은 게시판과 시끌벅적한 모험가들. 수 많은 정보가 오가는 이곳은 라카노아의 또 다른 심장이다.,https://i.pinimg.com/webp/736x/72/75/f1/7275f17874b18c5efe440a9d50fdbf53.webp,"등불광장,길드뒷마당",,,,,,,,,,,,,,
대장간,대장간 '강철 모루',⚒️,불꽃이 일렁이는 화로와 끊이지 않는 망치질 소리. 한쪽 벽엔 강화를 기다리는 무기들이 줄지어 걸려 있다.,https://i.pinimg.com/736x/af/55/66/af5566e6f5651b58cb2656b5d98aafdb.jpg,등불광장,,,,,,,,,,,,,,
시장골목,시장 골목,🛒,온갖 물건과 흥정 소리로 가득한 골목.,https://i.pinimg.com/1200x/1b/78/ad/1b78ad84bdd55a3e787c1de30717b09d.jpg,"등불광장,뒷골목,분수광장,상인조합",,,,,,,,,,,,,,
여관,여관 '포근한 깃털',🛏️,푹신한 침대와 따뜻한 식사. 모험의 피로를 풀 수 있는 곳이다.,https://i.pinimg.com/1200x/8c/b7/bf/8cb7bf979d142a48074bcc0cbb630f83.jpg,등불광장,,,,,,,,,,,,,,
뒷골목,그림자 뒷골목,🌑,등불의 빛이 닿지 않는 골목 안쪽. 말 없는 거래가 오간다.,https://i.pinimg.com/webp/1200x/48/53/07/4853077e34bdf28d5936766003f01512.webp,시장골목,Y,,라카노아를 기억하라,,,,,,,,,,,
초원,시작의 초원,🌿,끝없이 펼쳐진 풀빛 지평선. 모든 모험이 여기서 갈라진다.,https://i.pinimg.com/1200x/fc/9b/ec/fc9becb47d14f264dfa44b23665ff353.jpg,"등불광장,바람의언덕,숲어귀,사막어귀,산기슭,동굴입구,햇살들녘,잔잔한개울,너른들판",,,,,Y,"쐐기풀, 낙엽, 덩굴손, 쓰레기 더미, 돌멩이, 쑥, 크로커스, 봉선화, 벨라도나, 협죽도, 도라지, 감초, 천리향, 은방울꽃, 시프의 요깃거리, 파이프위드, 하수오, 푸른 장미, 오뎅 씨앗",,,,,,,,
바람의언덕,바람의 언덕,🍃,초원이 한눈에 내려다보이는 언덕. 맑은 날엔 네 방향의 땅끝이 모두 보인다.,https://i.pinimg.com/736x/b3/e1/5d/b3e15de181cfa4556dfd614839fe43be.jpg,"초원,바람개비목장",,,,,,,,,,,,,,
오두막,오두막,🏚️,숲 깊은 곳에 존재하는 오두막. 인기척은 없어 보인다.,https://i.pinimg.com/1200x/35/e7/b1/35e7b12fa03cdd9861ad53a677ec0e08.jpg,깊은숲,Y,,탐색하기,판정:감지:12,,,,,,,,,,
숲어귀,에이르 숲 어귀,🌳,숲의 시작. 새소리가 가득하고 발밑엔 산딸기가 흔하다.,https://i.pinimg.com/736x/72/a5/b5/72a5b527b6953dfe506b66bdaab423c6.jpg,"초원,빛이끼오솔길,고사리길",,,,,Y,"쐐기풀, 낙엽, 덩굴손, 쓰레기 더미, 나무껍질, 돌멩이, 쑥, 크로커스, 봉선화, 벨라도나, 협죽도, 겨우살이, 도라지, 감초, 천리향, 은방울꽃, 시프의 요깃거리, 파이프위드, 하수오, 푸른 장미, 오뎅 씨앗",,,,,,,,
