ID,이름,분류,구매가,판매가,중량,제작효과,설명
네잎클로버,네잎클로버,재료,,50,1,회피+1,바람개비 목장 풀숲에 드물게 숨은 행운. 지닌 이의 발걸음이 가벼워진다.
달빛풀,달빛풀,재료,,100,1,[야간시야],버섯 골짜기에서 밤에만 은은히 빛나는 풀. 어둠 속에서 길을 밝힌다.
유령선못,유령선의 녹슨 못,재료,,150,1,[대언데드],난파선의 관을 봉하던 못. 죽은 것들이 이 못을 두려워한다.
참나무심재,늙은 참나무의 심재,재료,,50,1,물방+1,수백 년을 버틴 고목의 단단한 심. 세월의 무게가 배어 있다.
잠긴기도서,물에 잠긴 기도서,재료,,200,1,마력친화,가라앉은 마을의 예배당에서 건진 책. 젖은 글자가 아직도 힘을 품고 있다.
메아리결정,메아리 결정,재료,,150,1,[마력전도],메아리 계곡의 소리가 굳어 맺힌 결정. 담긴 힘을 멀리까지 실어 나른다.
반딧불호박,반딧불 호박,재료,,80,1,마방+1,빛무리가 수액에 갇혀 굳은 호박. 은은한 빛이 나쁜 기운을 밀어낸다.
정령의눈물,정령의 눈물,재료,,180,1,"마방+2, [풍속성 내성]",숲의 심장에서 정령이 흘린 이슬 한 방울. 바람의 가호가 깃들어 있다.
석상조각,풍화를 거부한 석상 조각,재료,,500,1,[파괴불가],침묵의 광장에서 홀로 온전한 석상의 파편. 시간조차 이것을 깎지 못했다.
설표어금니,설표의 어금니,재료,,180,1,"공격력+1, [관통 특화]",설선 능선의 흰 사냥꾼이 남긴 어금니. 얼음도 가죽도 꿰뚫는다.
프리즘수정,프리즘 수정,재료,,150,1,"명중+1, [광속성 내성]",무지개 폭포의 물보라가 깎아낸 수정. 빛을 일곱 갈래로 흩어낸다.
첫빛이슬,첫빛의 이슬,재료,,120,1,[암속성 내성],해돋이 바위에서 새벽의 첫 빛을 머금고 맺힌 이슬. 어둠이 스미지 못한다.
벼랑매발톱,벼랑매의 발톱,재료,,150,1,"공격력+1, [풍속성 특화]",질풍 벼랑의 상승기류를 타는 매의 발톱. 바람을 찢으며 낙하한다.
지맥쇳덩이,지맥의 쇳덩이,재료,,120,1,공격력+2,지맥의 방 벽에서 캐낸 묵직한 쇳덩이. 땅의 맥동이 무게로 남았다.
소원동전,소원이 깃든 동전,재료,,200,1,"명중+1, 회피+1",소원 우물 바닥에서 빛나던 동전. 누군가의 간절함이 행운으로 굳었다.
