업적ID	분류	이름	설명	조건타입	조건값	보상칭호	보상명성	배지	공개
visit_belltower	탐험	여정의 시작	등불 광장 또는 종탑 거리에 처음 도착했다.	장소방문		여정의 시작	0	🏮	TRUE
visit_shadow_alley	탐험	그림자 뒷골목	숨겨진 뒷골목에 도달했다.	히든장소방문		뒷골목의 목격자	1	🌑	
visit_hidden_first	탐험	비밀문 너머	히든 장소에 처음 도달했다.	히든장소방문	1	비밀을 연 자	1	🚪	TRUE
visit_hidden_3	탐험	숨은 길의 감각	히든 장소 3곳에 도달했다.	히든장소방문	3	길잡이	1	🗝️	TRUE
visit_hidden_5	탐험	은밀한 지도	히든 장소 5곳에 도달했다.	히든장소방문	5	비밀 탐구자	1	🗺️	TRUE
visit_floor1_5	탐험	1층 탐험가	1층 지역 10곳을 방문했다.	지역그룹방문		1층 탐험가	0	🧭	TRUE
visit_floor1_10	탐험	1층 답사자	1층 지역 30곳을 방문했다.	지역그룹방문		1층 답사자	0	🧭	TRUE
visit_floor1_all	탐험	1층 전역 답파	1층의 모든 공개 지역을 방문했다.	층전체방문		1층 답파자	1	🗺️	TRUE
visit_floor2_first	탐험	2층의 문	2층 지역에 처음 도착했다.	지역그룹방문		2층 개척자	0	⛰️	
move_10	탐험	가벼운 발걸음	장소 이동을 100회 했다.	이동횟수	100	가벼운 발걸음	0	👟	TRUE
move_50	탐험	초보 모험가	장소 이동을 1000회 했다.	이동횟수	1000	초보 모험가	0	👟	TRUE
move_100	탐험	방랑자	장소 이동을 5000회 했다.	이동횟수	5000	방랑자	1	👟	TRUE
move_300	탐험	유랑민족	장소 이동을 10000회 했다.	이동횟수	10000	유랑민족	2	👟	
probe_first	탐험	수상한 단서	비밀 단서 조사를 처음 성공했다.	조사성공횟수	1	단서 추적자	0	🔎	
probe_10	탐험	소문을 꿰는 자	비밀 단서 조사를 10회 성공했다.	조사성공횟수	10	소문을 꿰는 자	0	🔎	
rift_enter_first	균열	균열 너머	균열에 처음 입장했다.	균열입장	1	균열 목격자	1	🌀	TRUE
rift_enter_10	균열	틈새 여행자	균열에 10회 입장했다.	균열입장	10	틈새 여행자	1	🌀	TRUE
rift_clear_first	균열	첫 균열 봉합	균열을 처음 클리어했다.	균열클리어	1	균열 봉합자	1	🌀	TRUE
rift_clear_5	균열	균열 사냥꾼	균열을 5회 클리어했다.	균열클리어	5	균열 사냥꾼	1	🌀	TRUE
rift_clear_20	균열	틈의 정복자	균열을 20회 클리어했다.	균열클리어	20	틈의 정복자	2	🌀	
dungeon_clear_first	던전	첫 공략 성공	던전을 처음 클리어했다.	던전클리어	1	첫 공략자	0	⚔️	TRUE
dungeon_clear_5	던전	용사 지망생	던전을 10회 클리어했다.	던전클리어	10	용사 지망생	0	⚔️	TRUE
dungeon_clear_20	던전	공략 전문가	던전을 100회 클리어했다.	던전클리어	100	던전 전문가	1	⚔️	
dungeon_weekly_3	던전	이번 주도 무사히	한 주에 던전 3회를 완료했다.	주간던전클리어	3	성실한 공략자	0	📅	TRUE
fish_first	생활-낚시	첫 낚시	낚시에 처음 성공했다.	낚시성공횟수	1	초보 낚시꾼	0	🎣	TRUE
fish_10	생활-낚시	물가 단골	낚시에 10회 성공했다.	낚시성공횟수	10	물가 단골	0	🎣	TRUE
fish_50	생활-낚시	낚싯줄 감각	낚시에 50회 성공했다.	낚시성공횟수	50	낚싯줄 감각	0	🎣	TRUE
fish_100	생활-낚시	잔잔한 인내	낚시에 100회 성공했다.	낚시성공횟수	100	잔잔한 인내	1	🎣	TRUE
fish_300	생활-낚시	강태공의 그림자	낚시에 1000회 성공했다.	낚시성공횟수	1000	강태공의 그림자	1	🎣	TRUE
fish_fail_10	생활-낚시	허탕도 경험	낚시에 10회 실패했다.	낚시실패횟수	10	허탕 전문가	0	🪣	TRUE
fish_level_2	생활-낚시	낚시 Lv.5	낚시 레벨 5를 달성했다.	낚시레벨	5	낚시 입문자	0	🐟	TRUE
fish_level_5	생활-낚시	낚시 Lv.15	낚시 레벨 15를 달성했다.	낚시레벨	15	흐름 이해자	0	🐟	TRUE
fish_level_10	생활-낚시	낚시 Lv.30	낚시 레벨 30을 달성했다.	낚시레벨	30	손맛	1	🐟	TRUE
fish_level_20	생활-낚시	낚시 Lv.60	낚시 레벨 60을 달성했다.	낚시레벨	60	해신	3	🐟	TRUE
fish_collection_5	생활-낚시	물고기 관찰자	낚시 도감 5종을 등록했다.	낚시도감등록수	5	물고기 관찰자	0	📘	TRUE
fish_collection_10	생활-낚시	작은 어류학자	낚시 도감 10종을 등록했다.	낚시도감등록수	10	물고기 연구자	0	📘	TRUE
fish_collection_25	생활-낚시	수중 도감가	낚시 도감 25종을 등록했다.	낚시도감등록수	25	수중 도감가	0	📘	TRUE
fish_collection_50p	생활-낚시	물고기 반반	낚시 도감 50%를 채웠다.	낚시도감완성률	50	심해의 연구자	1	📘	TRUE
fish_collection_100p	생활-낚시	낚시 도감 완성	낚시 도감을 완성했다.	낚시도감완성률	100	어류 생태학자	3	📘	TRUE
