장소ID,행동,라벨,AP,판정,드랍,실패문구
바람개비목장,탐색,네잎클로버 찾기,15,행운:10,"네잎클로버:15, 약초:30, 골드x20:15, 꽝:40",오늘은 세잎뿐이었다.
버섯골짜기,탐색,반짝이는 풀 찾기,20,행운:12,"달빛풀:20, 형광석:15, 골드x30:15, 꽝:50",소문 속 반짝임은 보이지 않았다.
난파선해안,탐색,난파선 뒤지기,20,행운:13,"유령선의 녹슨 못:15, 강철 파편:20, 골드x40:10, 크라켄의 빨판:5, 꽝:50",파도가 먼저 쓸어가 버렸다.
늙은참나무,탐색,고목 살피기,20,지력:12,"늙은 참나무의 심재:25, 생명의 수정:10, 골드x30:10, 꽝:55",수백 년의 나이테는 쉽게 읽히지 않았다.
가라앉은마을,탐색,잠긴 집 뒤지기,25,지력:13,"물에 잠긴 기도서:15, 유령의 잔재:15, 골드x40:15, 꽝:55",물에 불은 문서는 형체를 알아볼 수 없었다.
메아리계곡,탐색,메아리의 근원 찾기,25,지력:14,"메아리 결정:15, 산울림 돌:15, 골드x40:10, 꽝:60",메아리는 잡힐 듯 잡히지 않았다.
반딧불회랑,탐색,빛무리 홀리기,20,정신:12,"반딧불 호박:20, 형광석:20, 골드x20:10, 꽝:50",빛무리가 손가락 사이로 빠져나갔다.
숲의심장,탐색,정령과 교감,25,정신:13,"정령의 눈물:15, 생명의 수정:15, 마력의 수정:10, 꽝:60",푸른 공기가 스르르 흩어졌다.
침묵의광장,탐색,침묵 견디기,25,정신:14,"풍화를 거부한 석상 조각:5, 마력의 수정:20, 골드x40:15, 꽝:60",정적이 어깨를 짓눌렀다.
설선능선,탐색,눈더미 파헤치기,25,근력:14,"설표의 어금니:15, 크라그 독수리의 발톱:15, 그리폰 깃털:5, 골드x30:10, 꽝:55",얼어붙은 눈은 곡괭이도 튕겨냈다.
무지개폭포,탐색,폭포 뒤 더듬기,20,재주:13,"프리즘 수정:15, 청옥 물방울:15, 골드x30:10, 꽝:60",물살에 손이 밀려났다.
해돋이바위,탐색,여명 맞이,25,감지:14,"첫빛의 이슬:20, 여명의 결정:15, 골드x40:5, 꽝:60",그 찰나를 놓치고 말았다.
질풍벼랑,탐색,바람 타기,25,민첩:14,"벼랑매의 발톱:15, 질풍의 깃털:15, 골드x30:10, 꽝:60",돌풍에 밀려 주저앉았다.
지맥의방,탐색,지맥 두드리기,25,근력:14,"지맥의 쇳덩이:15, 대지의 심장석:15, 산울림 돌:10, 골드x40:10, 꽝:50",벽은 묵묵부답이었다.
소원우물,탐색,동전 던지기,15,행운:12,"소원이 깃든 동전:5, 골드x50:15, 마력의 수정:10, 꽝:70","퐁당, 소리만 남았다."
